id,customer_text,gold_intent,gold_should_escalate,gold_reference_resolution,is_adversarial_or_edge_case,notes
gold_001,@Delta is DL1429 from Atlanta to LGA delayed today?,flight_status_delay,False,Provide current departure time and link to flight tracker.,False,Standard delay inquiry
gold_002,Flight DL892 has been stuck on the tarmac in JFK for 3 hours with no AC or water!,flight_status_delay,True,Escalate to operations/safety due to extended tarmac delay violation risk.,True,Urgent tarmac delay with passenger distress
gold_003,Is there a ground stop at O'Hare affecting flight DL310?,flight_status_delay,False,Confirm ATC ground stop and check scheduled departure.,False,Weather / ATC query
gold_004,Connecting flight DL440 in Detroit is scheduled to leave in 15 mins but inbound is late. Will they hold the plane?,flight_status_delay,True,Review tight connection rebooking options via human desk.,False,Tight connection risk
gold_005,"Oh fantastic, another 4-hour delay from Delta! Best airline in the world! /s",flight_status_delay,False,Apologize for the disruption and provide rebooking / delay status info.,True,Sarcasm in delay complaint
gold_006,What gate is flight DL552 boarding at MSP airport?,flight_status_delay,False,Provide gate number and suggest Fly Delta app.,False,Gate query
gold_007,Flight DL204 was cancelled without explanation. What alternate flights are available tonight?,flight_status_delay,False,Direct to delta.com/rebook and offer DM assistance for rebooking.,False,Flight cancellation rebooking
gold_008,Has DL109 landed in London Heathrow yet?,flight_status_delay,False,Provide flight tracking status and landing timestamp.,False,Inbound tracking
gold_009,"Delayed 6 hours due to mechanical issues, crew timed out, now what?",flight_status_delay,True,Assist with replacement crew rebooking and overnight accommodations.,False,Crew timeout disruption
gold_010,Flight DL772 pushed back from gate but returned due to warning light.,flight_status_delay,True,Monitor maintenance gate return and offer flight alternatives.,False,Maintenance gate return
gold_011,Are flights out of Boston impacted by the blizzard tomorrow morning?,flight_status_delay,False,Share weather waiver advisory and free change window.,False,Weather waiver notice
gold_012,My flight DL1523 is delayed and I'm going to miss my sister's wedding in Dallas!,flight_status_delay,True,Prioritize critical schedule rebooking with human specialist.,False,High emotional urgency
gold_013,Flight status DL901 please,flight_status_delay,False,Provide DL901 status lookup.,False,Terse query
gold_014,Why did DL330 divert to Raleigh instead of continuing to Charlotte?,flight_status_delay,False,Explain weather/fuel diversion protocol and estimated departure.,False,Flight diversion
gold_015,Boarding gate changed three times in 20 minutes at ATL concourse A. Where is DL1999?,flight_status_delay,False,Confirm final gate number and recommend checking airport monitors.,False,Multiple gate changes
gold_016,Is DL80 to Paris delayed due to airspace restrictions?,flight_status_delay,False,Check international schedule and advise passenger.,False,International delay
gold_017,Pilot said we are number 35 in queue for takeoff at JFK. How long is that?,flight_status_delay,False,Explain ATC runway sequencing and estimated wait.,False,Runway queue delay
gold_018,Can I switch to an earlier flight today since my original flight is delayed 2 hours?,flight_status_delay,False,Explain same-day standby and confirmed change policy for delayed flights.,False,Same-day standby switch
gold_019,Flight DL1812 was cancelled and the line at the airport customer service desk is 200 people long.,flight_status_delay,True,Provide instant app rebooking link and DM rebooking support to bypass physical queue.,False,Airport queue bypass
gold_020,Has the inbound aircraft for DL622 left Seattle yet?,flight_status_delay,False,Look up inbound plane position and update passenger.,False,Inbound flight tracking
gold_021,"Flight DL450 delayed overnight, will Delta provide a hotel?",flight_status_delay,True,Review overnight delay cause and direct to hotel voucher desk or reimbursement.,False,Overnight delay hotel request
gold_022,Any updates on when baggage unload will begin for DL239? We landed 45 minutes ago.,flight_status_delay,False,Check ramp operations status at arrival airport.,False,Ramp baggage delay post-landing
gold_023,Why does the app say on-time when the gate board says delayed 1 hour for DL1012?,flight_status_delay,False,Reconcile system sync and confirm verified departure time.,False,App vs gate discrepancy
gold_024,DL73 delayed again. That's 4 delay notifications in 2 hours. Is this flight actually going to take off?,flight_status_delay,False,Provide operational status and rebooking alternatives.,False,Rolling delays
gold_025,Can I deplane if we are delayed at the gate with the jet bridge still attached?,flight_status_delay,False,Advise passenger to check with gate crew before stepping off.,False,Gate hold deplaning query
gold_026,Delayed flight caused me to miss the last cruise departure in Miami!,flight_status_delay,True,Escalate to senior customer care for severe trip disruption.,True,Missed cruise secondary damage
gold_027,"Flight DL505 cancelled, please rebook me on the 7pm flight to SLC.",flight_status_delay,False,Direct to Fly Delta app or request DM with confirmation code to process rebooking.,False,Direct rebooking request
gold_028,Is de-icing currently causing delays at Minneapolis airport?,flight_status_delay,False,Confirm winter de-icing operations and average taxi times.,False,De-icing operations query
gold_029,"DL149 landed 20 mins early, thank you flight crew!",flight_status_delay,False,Thank passenger for flying Delta.,False,Positive early arrival note
gold_030,"Flight DL989 status check please, traveling with elderly mother in wheelchair.",flight_status_delay,False,Provide flight status and confirm special assistance coordination.,False,Delay check with special assistance
gold_031,How do I change my return flight from Sunday to Monday?,booking_reservation_change,False,Instruct customer to use 'My Trips' online or in app with no change fees.,False,Standard date change
gold_032,"I need to fix a typo in my name on confirmation code HJK882, it's Robert not Rober.",booking_reservation_change,False,Request DM with confirmation code and government ID spelling to correct name.,False,Minor name correction
gold_033,Can I upgrade from Basic Economy to Main Cabin after purchasing?,booking_reservation_change,False,Explain Basic Economy restrictions and cancellation/rebook options.,False,Basic economy upgrade rule
gold_034,I want to change my seat from middle 22B to aisle 22C on flight DL810.,booking_reservation_change,False,Direct to Seat Selection in Fly Delta app or delta.com.,False,Seat selection
gold_035,"Bought ticket 3 hours ago, can I cancel for full refund without penalty?",booking_reservation_change,False,Confirm 24-hour risk-free cancellation policy with 100% refund.,False,24h risk-free cancel
gold_036,Need to transfer my ticket to my colleague John Doe because I cannot travel.,booking_reservation_change,False,Explain that tickets are strictly non-transferable per industry regulations.,False,Ticket transfer restriction
gold_037,How do I add a lap infant to my existing reservation?,booking_reservation_change,False,Guide to adding infant in arms via My Trips or DMing details.,False,Lap infant addition
gold_038,Can I change my origin from LGA to JFK on the same travel date?,booking_reservation_change,False,Explain co-terminal change options under My Trips with fare difference.,False,Co-terminal change
gold_039,"I booked through Expedia and need to change my flight, can Delta help?",booking_reservation_change,False,Advise to contact third-party travel agency or DM ticket details for day-of-travel support.,False,Third-party OTA ticket change
gold_040,How do I apply a companion certificate to my booking?,booking_reservation_change,False,Explain how to redeem companion certificate via SkyMiles profile wallet.,False,Companion certificate redemption
gold_041,Can I split a multi-passenger reservation so one person can return earlier?,booking_reservation_change,False,Instruct how to divide reservation in My Trips or request DM.,False,PNR reservation split
gold_042,Want to upgrade to First Class using cash on DL499.,booking_reservation_change,False,Direct to Seat Selection upgrade offers in app.,False,Cash seat upgrade
gold_043,My husband died yesterday and I need to cancel my non-refundable ticket for a bereavement refund.,booking_reservation_change,True,Express deep empathy and escalate to specialized bereavement care desk.,True,Bereavement sensitive escalation
gold_044,Can I change my flight date while maintaining my Comfort+ upgrade?,booking_reservation_change,False,Explain seat product transfer rules during flight modifications.,False,Product preservation on change
gold_045,How much does same-day confirmed change cost for Silver Medallion?,booking_reservation_change,False,Detail $75 fee for General/Silver or free for Gold+.,False,Same-day confirmed fee
gold_046,"I cannot view my booking online, getting error code ERR_PNR_NOT_FOUND.",booking_reservation_change,True,Request DM with ticket number or passenger name to look up lost PNR.,False,Technical booking lookup error
gold_047,Can I change just the first leg of my roundtrip flight?,booking_reservation_change,False,Explain modifying outbound flight segment in My Trips.,False,Single leg modification
gold_048,Need to add wheelchair assistance to reservation ABC123.,booking_reservation_change,False,Instruct how to add Special Services in My Trips or DM to add SSR code.,False,Wheelchair special service request
gold_049,Does Delta charge a penalty to change an international flight from US to Paris?,booking_reservation_change,False,Explain zero change fees for Main Cabin international originating in US.,False,International change fee policy
gold_050,How do I change my middle name on my boarding pass to match my REAL ID?,booking_reservation_change,False,Provide guidance on middle name TSA match requirements via DM.,False,REAL ID name match
gold_051,I want to rebook my cancelled trip using eCredit #00628391029.,booking_reservation_change,False,Explain redeeming eCredit during checkout on delta.com.,False,eCredit booking application
gold_052,Can I change my flight at the airport kiosk?,booking_reservation_change,False,Confirm airport kiosk same-day flight change options.,False,Kiosk rebooking
gold_053,"Accidentally booked duplicate flights for the same day, how to cancel one?",booking_reservation_change,False,Cancel duplicate within 24 hours under My Trips or DM for help.,False,Duplicate booking cancellation
gold_054,Can I extend the expiration date on my companion certificate?,booking_reservation_change,False,State policy regarding companion certificate validity and expiration.,False,Certificate extension inquiry
